send_date,send_time,medium,segment,category,purpose,offer_type,offer_detail,title,content,target_count,ctr,cvr
2025. 6. 13,16:30,푸시,골드 전체,식품,매거진 H,안내,단순 안내,💡 인기 탤런트 박정수의 대박 매출 비밀?,(광고) 매일 저녁이 되면 어김없이 찾아오는 고민을 해결한 「배우 박정수」의 이야기가 궁금하면 클릭 👉(수신거부:앱설정),"593,876",0.40%,1.24%
2025. 6. 14,18:30,푸시,골드 전체,기타,당월재구매 유도,안내,70% 할인,🛒 집에서 간편하게 장을 볼 수 있어요,(광고) 지금 클릭하면 제일 빨라요 👉최대 🔻70% 할인 선착순 한정 특가 상품! 그 외 제철 과일 등 한정수량 놓치지 마세요!(수신거부:앱설정),"54,128",0.71%,4.74%
2025. 6. 15,15:30,푸시,골드 하위,뷰티,전월 가입,안내,단순 안내,🔥 한 손에 쏙 들어오는데 80ml요??,(광고) 대용량이여서 완전 좋고 해외여행 갈 때 가져가면 전신까지 바를 수 있어서 좋을 것 같아요. 그리고 요철커버 완전 미쳤습니다.. 심지어 피부화장까지 찰떡! 제 인생템 찾았습니다.(수신거부:앱설정),764,1.18%,1.70%
2025. 6. 15,17:30,푸시,골드 상위,기타,객단가 상위,안내,1+1,😱 지금하는 방송중에만 순금이 무려 1+1,(광고) 방송이 끝나면 더 이상 구매가 어려울 수 있어요! 🏆순금과 행운🍀이 만나 탄생한 고품격 순금 목걸이! 늦기 전에 바로 확인해 보세요 👉(수신거부:앱설정),"3,506",0.77%,2.68%
2025. 6. 16,19:30,푸시,eTV 1회성,기타,연관카테고리,안내,단순 안내,🔥 제가 샀는데 첫 개시는 엄마가 하셨네요 ^^,(광고) 윗머리 안 눌려서 좋고 앞 차단도 잘 돼요! 올리고 내릴 수 있어서 편하고 안 쓸 때는 보호캡도 있어서 마음에 들어하시네요 ㅎㅎ 긴 생머리에도 너무 예쁘게 잘 어울려요~(수신거부:앱설정),"14,783",1.52%,3.97%
2025. 6. 16,18:30,푸시,골드 전체,등급/혜택,등급쿠폰,안내,단순 안내,📢 이번 달 할인 안 쓰고 가셨어요!,"(광고) {{custNm||고객}}님, 이번 달 「{{custGrd||회원등급}}등급 전용」 할인 쿠폰 아직 안 쓰셨어요! 카드 할인과 같이 쓸 수 있는 쿠폰, 지금 바로 클릭해서 확인 해보세요 💌(수신거부:앱설정)","106,687",1.43%,2.92%
2025. 6. 17,11:15,푸시,외부고객,식품,퍼스널쇼,안내,단순 안내,"📈 품절 대란템, 곡물도감 서리태 콩물두유",(광고) 지금 알림 받으신 고객님께만 드리는 방송 특별 혜택! ⏰ 「단 1시간 동안만」 특별한 가격으로 최대 혜택을 누려 보세요!(수신거부:앱설정),"4,057",1.55%,2.44%
2025. 6. 17,17:30,푸시,골드 상위,리빙/주방,주문2건 +건단가 10만,안내,단순 안내,❄ 패드가 너무 시원해서 베개 커버도 샀어요!,(광고) 아들만 사줬는데 제것도 사야겠어요. 무엇보다 흰색인데도 때가 잘 안타는 게 너무 신기해요! 진짜 냉감이 엄청 시원하고 매끌하니 먼지도 안 묻고 알레르망 역시 너무 좋네요 ㅎㅎ(수신거부:앱설정),"12,094",1.38%,3.13%
2025. 6. 17,18:30,푸시,골드 상위,패션의류,의류 우수고객,안내,70% ,😱 백화점 인기 상품인데 70% 할인이라구요?,(광고) 🏆 패셔니스타 {{custNm||고객}}님을 위한 맞춤 제안! 이번 현대백화점 여름 인기 브랜드 플리츠미의 시원한 SALE을 확인해 보세요 👉 (수신거부:앱설정),"1,860",1.13%,4.41%
2025. 6. 17,16:30,푸시,골드 상위,기타,카드 할인,안내,단순 안내,"✅ 현명한 소비, {{custNm||고객}}님을 위한 맞춤 안내!",(광고) 화요일에 결제하면 🔻카드할인 + 💰적립금까지 챙겨가실 수 있는 걸 알고 계셨나요? 평소 망설였던 상품이 있다면 오늘 혜택이 제일 좋아요! 할인 상품 더욱 저렴하게 사기 👉(수신거부:앱설정),"30,834",0.83%,3.47%
2025. 6. 18,19:30,푸시,외부고객,등급/혜택,현대카드(6월),안내,5% ,🔔 현대카드 시크릿 쿠폰 제대로 쓰자,(광고) 오늘 안에 「현대카드」로 구매하시면 🔻5% 추가 할인을 받을 수 있는 사실을 알고 계셨나요? 결제하고 다음 달 VIP 체험 혜택까지 도전해 보세요 👉(수신거부:앱설정),"2,108",3.75%,9.68%
2025. 6. 18,18:30,푸시,eTV 1회성,식품,연관카테(식품),안내,단순 안내,⏰ 지금부터 딱 1시간만 +3병 더 드려요,(광고) {{custNm||고객}}님 지금 입장하실 차례입니다.어떤 요리든 성공시키는 최상급 엑스트라버진 올리브 오일! 방송에서만 3병 추가로 드려요! 품절 전에 바로 확인해 보세요 👉(수신거부:앱설정),"6,759",2.46%,3.31%
2025. 6. 27,18:30,푸시,골드 전체,기타,당월재구매 유도,안내,단순 안내,"🔔 {{custNm||고객}}님, 입장할 순서입니다.",(광고) 기다리시느라 고생하셨어요! 지금 「특가 찬스」 입장해 주세요. 초대코드 [2506] 꼭 입력해주세요! 먼저 집는 사람이 승자 🏆(수신거부:앱설정),"91,664",2.32%,6.24%
2025. 6. 27,19:30,푸시,골드 전체,등급/혜택,등급쿠폰,안내,단순 안내,📢 이번 달 할인쿠폰이 아직 남아있어요!,"(광고) {{custNm||고객}}님, 이번 달 「{{custGrd||회원등급}}등급 전용」 할인 쿠폰 아직 안 쓰셨어요! 카드 할인과 같이 쓸 수 있는 쿠폰 만료까지 D-3일!! 지금 바로 클릭해서 확인 해보세요 💌(수신거부:앱설정)","124,697",1.14%,3.61%
2025. 6. 28,16:00,푸시,골드 상위,등급/혜택,쿠폰친화(주말선착순),안내,"15,000원",🚀 준비하시고.. 클릭 하세요!,"선착순 15,OOO원 할인쿠폰 발급 시작!머리는 차갑게 심장은 뜨겁게🔥누구보다 빠르게 클릭 해보세요!","11,039",3.59%,7.52%
2025. 6. 29,12:40,푸시,eTV 1회성,기타,리뷰 기반,안내,단순 안내,⏰ 사전 방송알림 신청 +999 화제의 그 상품!,"엄마가 허리 수술을 하셨는데 여름에 가볍고 편한 신발을 찾으셔서 구매하게 되었어요. 이전에 신던 것보다 훨씬 좋다고 하시네요 ^^ 디자인, 착화감, 색상 모두 대만족합니다! 완전 추천이에요 👍","9,847",1.81%,4.01%
2025. 6. 29,21:40,푸시,골드 상위,여행/레저,예측모델(여행),안내,10% ,🔥 딱 1시간동안만 용평리조트 초역대급 혜택!,"(광고) 이번 여름 온 가족 다같이 놀러 가자 👋 조식, 워터파크, 숙박까지 알짜만 모아놓은 패키지를 특별한 가격에 챙겨 보세요. 방송 중에만 특별 10% 적립에 커피 추첨까지! 지금 바로 확인해 보세요👉 (수신거부:앱설정)","29,191",0.38%,4.86%
2025. 7. 3,17:30,푸시,외부고객,등급/혜택,VIP체험_6월,안내,단순 안내,🎉 {{custNm||고객}}님 VIP 선정을 축하드립니다,(광고) 현대홈쇼핑x현대카드 시크릿쿠폰 이벤트 참여 감사드리며 우수고객 「{{custGrd||회원등급}} 등급」 혜택 안내 드립니다. - 기간 : 25년 8월까지(2개월) - 등급 : 다이아몬드(수신거부:앱설정),342,12.57%,7.31%
2025. 7. 3,10:00,문자,외부고객,등급/혜택,VIP체험_6월,안내,단순 안내,외부고객 VIP 체험 안내,"(광고)[VIP] Welcome! 현대홈쇼핑 x 현대카드 6월 시크릿 쿠폰 이벤트를 참여해주셔서 감사합니다. 이번 달 우수고객으로 선정된 {{custNm||고객}}님께 VIP등급 체험 안내 드립니다. ■ VIP등급 체험 안내- 기간 : 25년 7월~8월 (2개월)- 등급 : 다이아몬드*체험 종료 이후 구매이력에 따라 등급 자동 조정■ 우수고객 라운지 바로가기→go.hmall.com/VIP_Lounge ■ 등급 혜택 확인하기→go.hmall.com/Family_Zone ■ 꼭 알아두세요- H.Point 통합멤버십 회원이 아닌 고객님은 H.Point 혜택 이용이 어려울 수 있습니다.우수고객 라운지에서는 우수고객을 위한 특별한 컨텐츠를 만날 수 있으니, 많은 관심과 사랑 부탁드립니다.무료수신거부 : 080-355-0000",371,11.05%,6.20%
2025. 7. 7,19:30,푸시,외부고객,뷰티,이벤트 누적 참여,안내,84% ,⏰ 떴다 대박 세일!,(광고) {{custNm||고객}}님 혹시 화장품 안 필요하신가요?결제만 하면 최대 🔻84% 할인에 10% 추가 적립까지!😱 품절 되기 전 지금 바로 확인 해보세요👉(수신거부:앱설정),"10,982",2.55%,8.08%
2025. 7. 7,18:30,푸시,골드 전체,식품,등급쿠폰,안내,"3,000원","[긴급배송🚀] 3,OOO원 할인쿠폰 도착 성공","(광고) {{custNm||고객}}님, 특가를 더욱 저렴하게!카드 할인과 중복사용 가능한 쿠폰 지금 바로 클릭해서 확인 해보세요 💌추가 할인 쿠폰을 원하시면 🚀 혜택>쿠폰 할인 확인(수신거부:앱설정)","365,446",1.46%,1.80%
2025. 7. 7,15:50,푸시,골드 상위,기타,객단가 상위,안내,84% 할인,"🔔 {{custNm||고객}}님, 입장할 순서에요!",(광고) 상품별 최대 🔻84% 할인 혜택!오늘 할인 기회를 놓치면 구매가 어려울 수 있으니꼭! 지금 확인해 보세요 👉 (수신거부:앱설정),"6,040",1.41%,4.11%
2025. 7. 7,15:45,푸시,골드 하위,기타,객단가 하위,안내,84% 할인,"🔔 {{custNm||고객}}님, 입장할 순서에요!",(광고) 상품별 최대 🔻84% 할인 혜택!오늘 할인 기회를 놓치면 구매가 어려울 수 있으니꼭! 지금 확인해 보세요 👉 (수신거부:앱설정),"22,014",1.24%,2.99%
2025. 7. 7,20:30,푸시,eTV 1회성,뷰티,리뷰 기반,안내,단순 안내,🔥 기미와는 이제 안녕을 바래보며,(광고) 여러 기미 제품을 써봤는데 정말 만족스러웠어요. 가장 먼저 느껴진 건 촉촉한 텍스처! 사용하면 피부가 맑아 보이고 화장이 더 잘 먹는게 장점이에요. 피부에 착 감기는 느낌을 찾는다면 완전 추천!(수신거부:앱설정),"70,490",0.76%,2.21%
2025. 7. 11,18:30,푸시,골드 상위,등급/혜택,당월 객단가 15만+,안내,사은품/이벤트,📢 {{custNm||고객}}님 사은품 놓고 가셨어요,(광고) 구매하고 사은품 신청 잊으셨나요?✅ 클릭 한 번으로 바로 신청하세요.[구매내역] 확인해 보세요※ 추가 구매하기 전에 혜택>쿠폰할인 확인하기(수신거부:앱설정),"1,021",5.78%,7.74%
2025. 7. 11,14:50,WEB,골드 전체,패션의류,0711_[전수발송]_뷰티품절임박_웹푸시,안내,84% ,🔥 벌써 입소문 장난 아니에요!,지금 84% 할인된 가격으로 피부를 가꿔보세요! 아름다움을 더해줄 제품이 지금 기다리고 있습니다. 💄✨,"1,044,656",0.63%,0.00%
2025. 7. 11,18:10,WEB,골드 전체,기타,0711_앱푸시동의이벤트,안내,단순 안내,,,"1,040,597",0.65%,0.00%
2025. 7. 11,19:30,푸시,콜드 유저,기타,당월 강등,안내,"50,000원","💌 {{custNm||고객}}님, 축하드립니다!","(광고) 지금 오면 🔻5O,OOO원 할인 가능해요{{custNm||고객}}님만을 위한 더 크고 편해진 혜택 확인하기👉(수신거부:앱설정)","14,513",2.05%,1.05%
2025. 7. 11,20:30,푸시,골드 전체,패션의류,타깃팅_차력쇼,안내,15%,🔥 변요환이 입었던 바로 그 자켓,"(광고) 폴로 랄프로렌 가격에 놀라지 마세요! 쿠폰 할인 최대 🔻7O,OOO원 + 결제금액의 15%는 H.Point로 캐쉬백! 멋쟁이가 되고 싶으면 바로 클릭하세요👉(수신거부:앱설정)","35,888",1.67%,8.31%
2025. 7. 12,15:45,푸시,골드 상위,등급/혜택,쿠폰친화(주말선착순),안내,"15,000원",🚀 준비하시고.. 클릭 하세요!,"선착순 15,OOO원 할인쿠폰 발급 시작!머리는 차갑게 심장은 뜨겁게🔥누구보다 빠르게 클릭 해보세요!","14,694",2.92%,7.45%
2025. 7. 13,20:30,푸시,골드 상위,리빙/주방,백세권,안내,단순 안내,💄 마침 딱 필요했는데 싸게 샀어요!,(광고) 이제는 가지 말고 클릭하세요 💍직접 찾아가는 백화점 상품 大할인!🔥뜨거운 할인이 식기 전 「현대백화점」 구경하기 👉(수신거부:앱설정),"8,973",0.86%,2.83%
2025. 7. 14,20:25,푸시,골드 전체,기타,7월 푸시이벤트,안내,단순 안내,"💡 {{custNm||고객}}님, 이번주에도 뽑으셔야죠?","(광고) 1OO% 바로 사용 가능한 특별한 할인혜택 뽑고, 나만의 특가 상품도 확인해 보세요! 👉(수신거부:앱설정)","7,526",7.65%,12.48%
2025. 7. 14,18:40,푸시,골드 상위,등급/혜택,직전월 객단가 15만+,안내,사은품/이벤트,📢 {{custNm||고객}}님 사은품 증정 D-day!,(광고)⏰ 사은품 신청 오늘 마감!!✅ 클릭 한 번으로 바로 신청하세요.※ 추가 구매하기 전에 혜택>쿠폰할인 확인하기(수신거부:앱설정),"3,445",3.72%,2.21%
2025. 7. 14,18:45,WEB,골드 전체,기타,0714_앱푸시동의이벤트,안내,단순 안내,오늘의 행운의 기회를 잡으세요! 🎉,"(광고) 1OO% 바로 사용 가능한 특별한 할인혜택 뽑고, 나만의 특가 상품도 확인해 보세요! 👉(수신거부:웹설정)","1,037,697",0.47%,0.00%
2025. 7. 14,18:15,푸시,외부고객,패션의류,퍼스널쇼,안내,단순 안내,[현대홈쇼핑 퍼스널쇼] 이탈리아 수입 주얼리 특가방송💎,(광고) ⏰ 지금부터 방송에서만 금빛 질주 시작! 구찌 시그니처 주얼리 2O만원대 타임찬스부터 최신상 18K 주얼리 최초 세일까지! 3개월만에 돌아온 장기무이자 60개월 혜택 놓치면 안되겠죠 👉(수신거부:앱설정),"12,804",1.01%,4.83%
2025. 7. 14,19:30,푸시,골드 전체,식품,장바구니+찜+최근접속,안내,단순 안내,⏰ 여름철 보양식 3O% 초특가 타임어택!,(광고) 완도산 활전복이 1kg에 2만원도 안한다구요?{{custNm||고객}}님 지금 클릭하면 놓치지 않고 구매하실 수 있어요! [쿠폰 받기] 누르고 최종 주문화면에서 놀라운 가격 확인해 보세요 👉(수신거부:앱설정),"145,518",0.67%,2.75%
2025. 7. 15,18:30,푸시,골드 전체,기타,7월 출석체크 이벤트,안내,단순 안내,💰 {{custNm||고객}}님만의 특가 상품 뽑기 한 번 어때요?,"(광고) 오늘의 행운 기회를 잡으세요 🍀 1OO% 바로 사용 가능한 특별한 할인혜택 뽑고, 나만의 특가 상품도 확인해 보세요! 👉(수신거부:앱설정)","24,281",4.57%,3.30%
2025. 7. 15,20:30,푸시,eTV 1회성,패션의류,리뷰 기반(패션의류),안내,단순 안내,"🔥 색상이며 디자인, 소재까지 맘에 들어요 ^^","(광고) 주문 받아보니 역시 이쁘네요 ㅎㅎ 색상도 블루, 라임 컬러 모두 여름이랑 잘  어울려요! 헨리넥 티도 적당히 파여있고 단추 풀었을 때도 너무 이쁘네요 ^^ 라인이 살아나는 디자인도 대만족입니다!(수신거부:앱설정)","31,569",1.20%,2.58%
2025. 7. 15,19:30,푸시,골드 전체,기타,카드할인Y→올인데이,안내,17% ,💡 {{custNm||고객}}님은 오늘 할인 받을 수 있습니다.,(광고) 똑똑한 {{custNm||고객}} 고객님을 위한 맞춤 혜택!🎁최대 17% 혜택 받으면서 스마트하게 쇼핑하세요!지금 바로 혜택 확인하기 👉(수신거부:앱설정),"23,255",0.74%,2.59%
2025. 7. 18,18:30,푸시,골드 전체,기타,이벤트 (푸시&출석체크),안내,1+1,📢 지금 알림 받으신 「{{custNm||고객}}」 고객님께만,(광고)🔥이번 주에 인기 있었던 할인 상품 소량 재입고! 1+1 상품부터 🔻40%가 넘는 세일 상품까지! 품절되기 전 가장 먼저 확인해 보세요 👉(수신거부:앱설정),"28,008",2.66%,2.91%
2025. 7. 19,15:30,푸시,골드 전체,등급/혜택,쿠폰친화(주말선착순),안내,"15,000원",🚀 준비하시고.. 클릭 하세요!,"(광고)선착순 15,OOO원 할인쿠폰 발급 시작!머리는 차갑게 심장은 뜨겁게🔥누구보다 빠르게 클릭 해보세요!(수신거부:앱설정)","7,339",3.17%,7.81%
2025. 7. 21,18:30,푸시,골드 전체,기타,이벤트 (푸시&출석체크),안내,단순 안내,"💰 {{custNm||고객}}님, 이번주에도 뽑으셔야죠?","(광고) 오늘의 행운 기회를 잡으세요 🍀 1OO% 바로 사용 가능한 특별한 할인혜택 뽑고, 나만의 특가 상품도 확인해 보세요! 👉(수신거부:앱설정)","10,967",4.59%,2.25%
2025. 7. 21,21:00,WEB,골드 전체,기타,0721_앱푸시동의이벤트,안내,단순 안내,오늘의 행운의 기회를 잡으세요! 🎉,"(광고) 1OO% 바로 사용 가능한 특별한 할인혜택 뽑고, 나만의 특가 상품도 확인해 보세요! 👉(수신거부:웹설정)","1,043,645",0.53%,-
2025. 7. 21,18:45,푸시,골드 전체,등급/혜택,골드쿠폰사용고객,안내,단순 안내,"🍀 {{custNm||고객}}님, 행운 응모권이 도착했습니다.","(광고) 오늘의 행운 기회를 잡으세요 🍀 1OO% 바로 사용 가능한 특별한 할인혜택 뽑고, 나만의 특가 상품도 확인해 보세요! 👉(수신거부:앱설정)","198,392",2.07%,1.63%
2025. 7. 21,19:45,푸시,eTV 1회성,리빙/주방,리뷰 기반(주방용품),안내,단순 안내,🔥 환갑이 막 지난 주부 30단입니다 ^^,(광고) 통3중 바닥/ 304고급스텐에 은함유 고급항균세라믹코팅으로 바깥부분은 닦을때는 크게 힘쓸 일이 없어요! 내부애 눈금표시 있어서 매번 비슷한 양 맞추기도 좋구요~! 오래된 냄비 전부 정리했네요^^(수신거부:앱설정),"120,876",0.61%,1.99%
2025. 7. 22,19:30,푸시,외부고객,등급/혜택,외부고객(7월참여),안내,단순 안내,🔔 현대카드 시크릿 쿠폰 종료 D-1일,(광고){{custNm||고객}}님 시간이 얼마 없어요!⏰ 할인 받아서 주문하고 다음 달 VIP 체험 혜택까지 도전해 보세요 👉(수신거부:앱설정),"2,965",5.80%,6.00%
2025. 7. 23,18:30,푸시,외부고객,등급/혜택,외부고객(7월참여),안내,단순 안내,🔔 현대카드 시크릿쿠폰 종료 D-day,"(광고){{custNm||고객}}님, 다음 달 「VIP 혜택」 받으셔야죠! 현대카드 시크릿쿠폰 받으신 고객님께만 드리는 특별 혜택 확인하러 가기 👉(수신거부:앱설정)","3,287",7.24%,7.67%
2025. 7. 23,16:30,푸시,골드 상위,패션의류,골드상위(명품),안내,87% ,"{{custNm||고객}}님, 최대 🔻87% 할인중이에요",(광고) 👜프라다부터 보테가베네타까지 한정 기간동안 인기 명품을 특가에 만나 보세요! 여름에 가볍게 들기 좋은 가방부터 럭셔리 악세사리까지 한 눈에 확인하기 👉(수신거부:앱설정),"31,954",1.66%,3.62%
2025. 7. 25,18:30,푸시,eTV 1회성,식품,eTV(실속마켓_식품),안내,30% ,⏰{{custNm||고객}}님 🔻30% 할인이 시작됐어요!,(광고) 1천원만 구매해도 바로 적용 가능한 30% 할인쿠폰! 1++등급 한우부터 제철 과일까지 아주 합리적인 가격에 구매할 수 있는 절호의 기회! 소진되기 전에 지금 받으러 오세요! 👉(수신거부:앱설정),"25,671",0.66%,3.43%
2025. 7. 29,18:15,푸시,외부고객,패션의류,이벤트참여(누적),안내,41% ,[💎퍼스널쇼] {{custNm||고객}}님께만 드리는 초대장,(광고)『이세이미야케 바오바오&플리츠플리즈』 1시간동안만 진행하는 최대 🔻41% 프라이빗 할인 방송! 현대카드 있으시면 추가 🔻7% 할인까지! 지금바로 클릭해서 확인해 보세요 👉(수신거부:앱설정),"12,766",1.39%,3.60%
2025. 7. 29,19:45,푸시,골드 전체,등급/혜택,쿠폰친화(등급쿠폰),안내,단순 안내,📢 이번 달 할인쿠폰이 아직 남아있어요!,"(광고) {{custNm||고객}}님, 이번 달 「{{custGrd||회원등급}}등급 전용」 할인 쿠폰 아직 안 쓰셨어요! 카드 할인과 같이 쓸 수 있는 쿠폰 만료까지 D-3일!! 지금 바로 클릭해서 확인 해보세요 💌(수신거부:앱설정)","164,411",1.26%,1.86%
2025. 7. 29,20:30,푸시,eTV 1회성,패션의류,리뷰 기반(패션의류),안내,단순 안내,🔥 눈 여겨 보다가 세일하길래 바로 구매했어요 ^^,(광고) 아이스블루 구매했는데 시원하고 청량해 보이네요! 흐르는듯한 느낌 좋고 살에 닿는 고슬고슬한 느낌이 굿~ 청바지랑 면 바지에 입어봤는데 다 잘 어울리고 55 사이즈 여유롭게 핏이 좋아요 ㅎㅎ(수신거부:앱설정),"28,197",0.94%,3.22%
2025. 7. 31,19:30,푸시,골드 전체,기타,출석체크참여고객,안내,단순 안내,🏆 5주 연속 할인 받으신 고객님도 계시네요,"(광고) 오늘의 행운 기회를 잡으세요 🍀 1OO% 바로 사용 가능한 특별한 할인혜택 뽑고, 나만의 특가 상품도 확인해 보세요! 👉(수신거부:앱설정)","34,009",2.61%,3.48%
2025. 7. 31,14:30,푸시,골드 전체,식품,"미사용,발급(등급쿠폰)",안내,"3,000원","[긴급배송🚀] 3,OOO원 할인쿠폰 도착 성공","(광고) {{custNm||고객}}님, 시간이 얼마 없어요⏰카드 할인과 중복사용 가능한 쿠폰 지금 바로 클릭해서 확인 해보세요 💌추가 할인 쿠폰을 원하시면 🚀 혜택>쿠폰 할인 확인(수신거부:앱설정)","202,337",1.14%,1.62%
2025. 7. 31,20:30,푸시,콜드 유저,기타,당월가입→취소& 강등,안내,1+1,😱{{custNm||고객}}님께만 드리는 쉿!크릿 특가,(광고) 🚨품절 전에 {{custNm||고객}}님께만 드리는 특별 알림! 1+1 특별 기획부터 최대 🔻44% 할인 상품까지! 클릭만해도 벌써 혜택을 받으신 거에요👉(수신거부:앱설정),"17,476",1.14%,1.54%
2025. 7. 31,18:30,푸시,골드 상위,뷰티,최근 6개월 리뷰2+건,안내,단순 안내,🔥일주일만에 숱도 많아지고 힘이 생겼어요!,(광고) 속눈썹 영양제의 인생템을 찾았어요. 요걸로 바꾼 후 1달후에 펌 하러가니 원장님이 눈썹에 무슨짓을 한거냐고! 왜이리 길었냐고ㅎ깜짝놀라시더군요~~  적극 추천합니다 ^^(수신거부:앱설정),"25,235",0.82%,4.07%
2025. 8. 1,18:30,푸시,골드 하위,기타,링크제휴 & 가격비교,안내,단순 안내,🏃‍♀️ 지금부터 선착순 50명!,"(광고) {{custNm||고객}}님, 초대코드 [2506] 입력하고 선착순의 주인공이 되어보세요! 언제 품절될지 모르니 속도가 생명! 지금 바로 확인해 보세요 👉(수신거부:앱설정)","34,115",2.26%,2.04%
2025. 8. 1,20:30,푸시,외부고객,기타,당월 구매 + 외부고객,안내,단순 안내,"🔥 22,727명께서 할인을 받아 가셨어요!","(광고) 오늘의 행운 기회를 잡으세요 🍀 1OO% 바로 사용 가능한 특별한 할인혜택 뽑고, 나만의 특가 상품도 확인해 보세요! 👉(수신거부:앱설정)","13,754",2.03%,6.94%
2025. 8. 1,19:30,푸시,eTV 1회성,식품,생방송 外 구매고객,안내,30% 할인,🏆선착순 🔻30% 할인 쿠폰 발급 시작!,(광고) 1천원만 구매해도 바로 적용 가능한 30% 할인쿠폰! 🛒 먹거리부터 실속 리빙템까지 한 번에 담아서 할인 받아 보세요 ^^ 소진되기 전에 지금 확인하러 가기👉(수신거부:앱설정),"34,019",0.99%,2.09%
